dist,category,aId,aStore,aProd,aPrice,aTitle,bId,bStore,bProd,bPrice,bTitle
20,"Vaporizadores herbales",2060,2,9244,299990,"Vaporizador DaVinci IQ3",32232,1,,219590,"Vaporizador Da Vinci Iq3 (Onyx/Blue/Purple/Grey) - Negr"
20,"Vaporizadores herbales",32232,1,,219590,"Vaporizador Da Vinci Iq3 (Onyx/Blue/Purple/Grey) - Negr",34079,2,,299990,"Vaporizador DaVinci IQ3 - Negro"
21,"Contenedores y estuches",3224,4,,6300,"Lata de Ocultación【contenedor】discreta - Varios diseños",37040,2,,6990,"Latas de Ocultación - Distintas comidas - Mushroom Soup"
21,"Contenedores y estuches",15944,3,10488,19752,"Estuche Anti Olor Dime Bags The Collector con Candado 2",34572,2,,25990,"Dime Bags Estuche Collector Con Clave Anti-Olor 22cm -"
21,"Repuestos para bongs y vaporizadores",3369,3,5749,4990,"Quemador Bowl Chico Hembra Bonglab 14mm | PIRANHA",31288,1,,4990,"Quemador Bowl Chico Hembra 14Mm - Bonglab - SMOKEY GRAY"
21,"Repuestos para bongs y vaporizadores",15788,3,10260,4990,"Difusor Bonglab 14mm/14cm | PIRANHA",31379,1,,3990,"Difusor 14Mm 14Cm - Bonglab - Verde azulado"
21,"Repuestos para bongs y vaporizadores",31346,1,,5990,"Quemador Perlas Macho 18 Mm -Bonglab - SMOKEY GRAY",33998,2,,4401,"Bonglab Quemador Perlas - Macho 18mm - Negro"
22,"Bongs",31623,1,,20990,"Classic Ice 26Cm-Bonglab - verde",34673,2,,22990,"Bonglab Bong KS11 Classic Ice 26cm - Verde"
22,"Repuestos para bongs y vaporizadores",33294,1,,16990,"Bateria Mystica Max -Airistech - LAKE BLUE",39257,3,,16641,"Batería Airistech Mystica Max | PIRANHA"
23,"Accesorios de extraccion",17216,1,,314990,"New Peak Bliss - Puffco",37816,2,,269990,"Vaporizador Puffco Peak 2024 - Rosado"
23,"Accesorios de extraccion",18184,1,10494,201990,"Vaporizador Pivot Onyx-Puffco",34364,2,,174990,"Vaporizador Puffco Pivot - Onyx"
23,"Bongs",31626,1,,22990,"Color Cube-Bonglab - AMBAR",34679,2,,25990,"Bonglab Bong X2 Color Cube 23cm - Ámbar"
23,"Contenedores y estuches",11056,3,10526,24473,"Estuche Ywiwis Gatito - OZeta | PIRANHA",32844,1,,31990,"Bolso Ywiwis Antiolor-Ozeta - GATITO"
23,"Contenedores y estuches",19783,2,10198,30990,"Ozeta Estuche Ywiwi Carboncin - Anti-olor",32841,1,,28990,"Bolso Ywiwis Antiolor-Ozeta - CARBONCIN"
23,"Encendedores y sopletes",12856,2,10308,44990,"Encendedor Zippo Cannabis Design",30578,1,,44990,"Leaf Design 3-Zippo"
23,"Encendedores y sopletes",17961,1,10482,6490,"Encendedor Metalico Rose Gold",35719,2,,6990,"Encendedor Clipper Metálico Rose Gold - Opaco"
23,"Otros parafernalia",24127,1,,59990,"Wall Mount -Stundenglass",26061,2,10670,73980,"Cookies X Stündenglass - Wall Mount"
23,"Papelillos",12373,1,,990,"Papelillo Sabor Blueberry 1 1/4 Unidad",37798,2,,1190,"Juicy Jays Papelillos de Sabores 1 1/4 - Blueberry"
23,"Papelillos",12374,1,,990,"Papelillo Sabor Candy 1 1/4 Unidad",37796,2,,1190,"Juicy Jays Papelillos de Sabores 1 1/4 - Candy Cane"
23,"Repuestos para bongs y vaporizadores",12278,1,10257,5990,"Quemador Perlas Macho 18 Mm -Bonglab",33993,2,,4401,"Bonglab Quemador Perlas - Macho 18mm - Azul"
23,"Repuestos para bongs y vaporizadores",31337,1,,5990,"Quemador Perlas Macho 18 Mm -Bonglab - azul",33993,2,,4401,"Bonglab Quemador Perlas - Macho 18mm - Azul"
24,"Contenedores y estuches",417,1,10522,21990,"Jar Rosado 4Oz-Bonglab Re: Stash",35299,2,,23990,"BongLab Contenedor Re:Stash 4oz - Rosado"
24,"Contenedores y estuches",11058,3,10198,23243,"Estuche Ywiwis Carboncin - OZeta | PIRANHA",32841,1,,28990,"Bolso Ywiwis Antiolor-Ozeta - CARBONCIN"
24,"Contenedores y estuches",19779,2,10526,35990,"Ozeta Bolso Felpudo Gatito",32844,1,,31990,"Bolso Ywiwis Antiolor-Ozeta - GATITO"
24,"Encendedores y sopletes",18127,1,10483,3990,"Soplete Bernie Variedades",35808,2,,3990,"Special Blue Encendedor Soplete Bernie Wild &amp; Free"
24,"Moledores",29044,1,9852,59990,"Moledor 6CM -Slx - azul",33740,2,,43491,"Moledor SLX 50mm - Azul"
24,"Moledores",31190,1,,49990,"Moledor 5Cm -Slx - azul",33740,2,,43491,"Moledor SLX 50mm - Azul"
25,"Otros parafernalia",15585,3,10597,24892,"Gorra Dad Hats Blazy Susan (Pink/White) | PIRANHA",34321,2,,22492,"Blazy Susan Jockey Dad Hats - Rosado"
25,"Pipas",11073,3,,3469,"Hemper Quick Hitter Uva | PIRANHA",34024,2,,3951,"Hemper Quick Hitter Multiuso x2 - Grape"
26,"Bongs",31621,1,,20990,"Classic Ice 26Cm-Bonglab - AMBAR",34675,2,,22990,"Bonglab Bong KS11 Classic Ice 26cm - Ámbar"
26,"Bongs",31803,1,,424990,"Gravity Hookah -Stundenglass - DR GREENTHUMB",37005,2,,479990,"Dr. Greenthumb&#39;s X Stündenglass Gravity Hookah"
26,"Contenedores y estuches",15846,3,10489,24592,"Estuche Anti Olor Dime Bags The Collector con Candado 3",34575,2,,29990,"Dime Bags Estuche Collector Con Clave Anti-Olor 30cm -"
26,"Pipas",8122,2,,4390,"Hemper Quick Hitter Multiuso x2",11074,3,,3469,"Hemper Quick Hitter Arándano | PIRANHA"
