id,name,category,brand,brandKey,modelKey,modelSlug,url,offers,stores,storeNames,minPrice,maxPrice,spreadPct,cheapestStore,priciestStore,inStock,hasImage,lastSeenAt,titles
5462,Papelillos OCB Bamboo 1 1/4,Papelillos,OCB,ocb,paper-1-1-4-1-1-4,bamboo,/productos/ocb/bamboo,4,4,Astro Growshop | Fumetas | GrowBarato Chile | Piranha,650,990,52,Fumetas,Piranha,true,true,2026-05-18T07:08:09.324Z,Papelillos OCB Bamboo 1 1/4 | Papelillo 1 1/4 Bamboo-Ocb | Papel de Liar OCB Bamboo 1.1/4 Vegano Natural Sin Blanqueamiento | Papelillo OCB Bamboo 1 1/4
5816,Papelillos OCB Virgin 1 1/4,Papelillos,OCB,ocb,paper-1-1-4-1-1-4,virgin,/productos/ocb/virgin,5,4,Astro Growshop | Fumetas | GrowBarato Chile | Piranha,650,1990,206,Fumetas,Piranha,true,true,2026-05-18T06:55:49.056Z,Papelillos OCB Virgin 1 1/4 | Papelillo Virgin 1 1/4 1U-Ocb | OCB Virgin Extra Fino 1.1/4 sin colorantes | Papelillo OCB Virgin 1 1/4 | PIRANHA | Papelillo OCB 1 1/4 + Boquilla Virgin | PIRANHA
5463,Papel de fumar de cáñamo orgánico 1 1/4 OCB,Papelillos,OCB,ocb,paper-1-1-4-1-1-4,organic,/productos/ocb/organic,4,4,Astro Growshop | Fumetas | GrowBarato Chile | Piranha,700,990,41,GrowBarato Chile,Piranha,true,true,2026-05-18T07:08:03.822Z,Papel de fumar de cáñamo orgánico 1 1/4 OCB | Papelillos OCB Cañamo orgánico 1 1/4 | Papelillo Organico de Cañamo1 1/4 1U- Ocb | Papelillo OCB Orgánico 1 ¼
5460,Blazy Susan Papelillos Purple 1 1/4,Papelillos,Blazy Susan,blazy-susan,paper-1-1-4-1-1-4,purple,/productos/blazy-susan/purple,3,3,Astro Growshop | Fumetas | Piranha,711,790,11,Fumetas,Astro Growshop,true,true,2026-05-18T07:03:44.839Z,Blazy Susan Papelillos Purple 1 1/4 | Papelillo Purple 1 1/4 1Und-Blazy Susan | Papelillo 1 1/4 Blazy Susan Purple | PIRANHA
5817,Papelillos OCB Ultimate 1 1/4,Papelillos,OCB,ocb,paper-1-1-4-1-1-4,ultimate,/productos/ocb/ultimate,3,3,Astro Growshop | Fumetas | Piranha,750,1190,59,Fumetas,Piranha,true,true,2026-05-18T06:55:48.631Z,Papelillos OCB Ultimate 1 1/4 | Papelillo Ultimate 1 1/4 1U -Ocb | Papelillo OCB Ultimate 1 ¼
5470,Papelillo Premium Negro 1 1/4 1U-Ocb,Papelillos,OCB,ocb,paper-1-1-4-1-1-4,black,/productos/ocb/black,5,4,Astro Growshop | Fumetas | GrowBarato Chile | Piranha,790,1990,152,Fumetas,Piranha,true,true,2026-05-18T07:08:10.166Z,Papelillos OCB Premium 1 1/4 | OCB Premium 1 1/4 Papel de fumar extrafino | Papelillo Premium Negro 1 1/4 1U-Ocb | Papelillo OCB Negro Premium 1 ¼ | Papelillo OCB Negro Premium 1 ¼ + Boquilla
5478,Papelillos Gizeh Pink 1 1/4 Extra Fine,Papelillos,Gizeh,gizeh,paper-1-1-4-1-1-4,pink,/productos/gizeh/pink,3,3,Fumetas | GrowBarato Chile | Piranha,790,990,25,Fumetas,Piranha,true,true,2026-05-18T07:08:02.871Z,Papelillos Gizeh Pink 1 1/4 Extra Fine | Papelillos para liar Gizeh Pink 1 1/4 - GB The Green Brand | Papelillo Gizeh Pink 1 1/4
5458,Papelillos Raw Classic 1 1/4,Papelillos,RAW,raw,paper-1-1-4-1-1-4,classic,/productos/raw/classic,7,4,Astro Growshop | Fumetas | GrowBarato Chile | Piranha,800,1990,149,GrowBarato Chile,Piranha,true,true,2026-05-18T07:08:11.001Z,RAW Classic 1.1/4 producto de la marca RAW | Papelillos Raw Classic 1 1/4 | Papelillos RAW Classic 1 1/4 | PIRANHA | Papelillos Classic 1 1/4 1 Ud-Raw | Papelillos Classic 1 1/4 1Ud-Raw | Papelillo RAW Classic Connoisseur 1 1/4 + Boquilla | PIRANHA | Papelillo RAW Classic 1 1/4 + Filtros Pre-Enrolados | PIRANHA
5479,Papelillos OCB X-Pert 1 1/4,Papelillos,OCB,ocb,paper-ocb-x-pert-1-1-4,x-pert,/productos/ocb/x-pert,3,3,Fumetas | GrowBarato Chile | Piranha,850,990,16,Fumetas,Piranha,true,true,2026-05-18T07:08:04.835Z,Papelillos OCB X-Pert 1 1/4 | OCB X-Pert 1 1/4 papel de fumar ultrafino | Papelillo OCB Xpert 1 ¼
5704,Blunt Kush Hemp Wrap x2,Conos y blunts,Kush Hemp,kush-hemp,wrap-2u,wrap-2u,/productos/kush-hemp/wrap-2u,3,2,Fumetas | Piranha,990,1590,61,Fumetas,Piranha,true,true,2026-05-18T14:25:50.618Z,Blunt Kush Hemp Wrap x2 | Conos Blunt Kush Hemp x2 - Sabores | Kush Blunt Hemp Wrap Terpene Infused (2u) | PIRANHA
